Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.4xlarge	1	16	55	32000	1	1	32000	32000	32000	849308
c3.4xlarge	1	16	55	32000	2	3	1500	16000	10666.67	375880
c3.4xlarge	1	16	55	32000	4	5	2250	8000	6400	191104
c3.4xlarge	1	16	55	32000	8	9	1750	4000	3555.56	105540
c3.4xlarge	1	16	55	32000	32	32	1000	1000	1000	61700
c3.4xlarge	1	16	55	32000	64	64	500	500	500	55338
c3.4xlarge	1	16	55	32000	128	128	250	250	250	132400
c3.4xlarge	1	16	55	32000	256					DNF
										
c3.4xlarge	2	32	110	64000	2	3	3000	32000	21333.33	681678
c3.4xlarge	2	32	110	64000	4	5	4500	16000	12800	350624
c3.4xlarge	2	32	110	64000	8	9	3500	8000	7111.11	200174
c3.4xlarge	2	32	110	64000	32	32	2000	2000	2000	104351
c3.4xlarge	2	32	110	64000	64	64	1000	1000	1000	75573
c3.4xlarge	2	32	110	64000	128	128	500	500	500	136307
c3.4xlarge	2	32	110	64000	256					DNF
										
c3.4xlarge	4	64	220	128000	4	5	900	32000	25600	607808
c3.4xlarge	4	64	220	128000	8	9	7000	16000	14222.22	311637
c3.4xlarge	4	64	220	128000	32	32	4000	4000	4000	104041
c3.4xlarge	4	64	220	128000	64	64	2000	2000	2000	62570
c3.4xlarge	4	64	220	128000	128	128	1000	1000	1000	78638
c3.4xlarge	4	64	220	128000	256					DNF
c3.4xlarge	4	64	220	128000	512	1				DNF
										
c3.4xlarge	8	128	440	256000	4	5	18000	64000	51200	1277487
c3.4xlarge	8	128	440	256000	8	9	14000	32000	28444.44	607467
c3.4xlarge	8	128	440	256000	32	32	8000	8000	8000	204377
c3.4xlarge	8	128	440	256000	64	64	4000	4000	4000	60340
c3.4xlarge	8	128	440	256000	128	128	2000	2000	2000	58252
c3.4xlarge	8	128	440	256000	256					DNF
c3.4xlarge	8	128	440	256000	512	1				DNF
