Instance Type,VCPUs,ECUs,Number of Nodes,Number of Blocks,Requested Partitions,Actual Partitions,Min Volume,Max Volume,Average Volume,Running Time (msec.)
c3.8xlarge,32,108,1,32000,1,1,32000,32000,32000,830033.711512
c3.8xlarge,32,108,1,32000,4,5,2250,8000,6400,182308.057405
c3.8xlarge,32,108,1,32000,8,9,1750,4000,3555.56,95210.685717
c3.8xlarge,32,108,1,32000,32,32,1000,1000,1000,38009.143509
c3.8xlarge,32,108,1,32000,64,64,500,500,500,34362.714282
c3.8xlarge,32,108,1,32000,128,128,250,250,250,82732.657134
,,,,,,,,,,
c3.8xlarge,64,216,2,64000,1,1,64000,64000,64000,1452202.774396
c3.8xlarge,64,216,2,64000,4,5,4500,16000,12800,333309.348594
c3.8xlarge,64,216,2,64000,8,9,3500,8000,7111.11,169338.9879
c3.8xlarge,64,216,2,64000,32,32,2000,2000,2000,63099.678731
c3.8xlarge,64,216,2,64000,64,64,1000,1000,1000,46551.194171
c3.8xlarge,64,216,2,64000,128,128,500,500,500,86561.518468
