Instance Type	VCPUs	ECUs	Number of Nodes	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.8xlarge	32	108	1	4000	1	1	4000	4000	4000	43389.657811
c3.8xlarge	32	108	1	4000	4	5	300	1000	800	7662.402398
c3.8xlarge	32	108	1	4000	8	9	350	500	444.44	6459.406908
c3.8xlarge	32	108	1	4000	32	272	50	200	190.48	7142.438668
										
c3.8xlarge	64	216	2	8000	1	1	8000	8000	8000	83539.440603
c3.8xlarge	64	216	2	8000	4	5	600	2000	1600	12902.988148
c3.8xlarge	64	216	2	8000	8	9	700	1000	888.89	8264.760542
c3.8xlarge	64	216	2	8000	32	272	20	30	29.41	7674.84506
										
c3.8xlarge	128	432	4	16000	1	1	16000	16000	16000	165020.958404
c3.8xlarge	128	432	4	16000	4	5	1200	4000	3200	17994.519809
c3.8xlarge	128	432	4	16000	8	9	1400	2000	1777.78	10039.462102
c3.8xlarge	128	432	4	16000	32	272	40	60	58.82	7380.357383
